Id_cliente,churn,genero,idoso,possui_parceiro,possui_dependentes,tempo_de_contato,servico_telefonico,varias_linhas_telefonicas,tipo_de_internet,seguraca_online,backup_online,protecao_de_dispositivo,suporte_tecnico,tv_por_streaming,filmes_por_streaming,tipo_de_contrato,fatura_digital,forma_de_pagamento,gasto_mensal,gasto_total,contas_diarias
0002-ORFBO,No,Feminino,No,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Um ano,Yes,Cheque enviado,65.6,593.3,2.197407407407407
0003-MKNFE,No,Masculino,No,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Mês a mês,No,Cheque enviado,59.9,542.4,2.008888888888889
0004-TLHLJ,Yes,Masculino,No,No,No,4,Yes,No,Fibra óptica,No,No,Yes,No,No,No,Mês a mês,Yes,Cheque eletrônico,73.9,280.85,2.340416666666667
0011-IGKFF,Yes,Masculino,Yes,Yes,No,13,Yes,No,Fibra óptica,No,Yes,Yes,No,Yes,Yes,Mês a mês,Yes,Cheque eletrônico,98.0,1237.85,3.1739743589743585
0013-EXCHZ,Yes,Feminino,Yes,Yes,No,3,Yes,No,Fibra óptica,No,No,No,Yes,Yes,No,Mês a mês,Yes,Cheque enviado,83.9,267.4,2.971111111111111
0013-MHZWF,No,Feminino,No,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Mês a mês,Yes,Cartão de crédito (automático),69.4,571.45,2.1164814814814816
0013-SMEOE,No,Feminino,Yes,Yes,No,71,Yes,No,Fibra óptica,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Transferência bancária (automática),109.7,7904.25,3.7109154929577466
0014-BMAQU,No,Masculino,No,Yes,No,63,Yes,Yes,Fibra óptica,Yes,No,No,Yes,No,No,Dois anos,Yes,Cartão de crédito (automático),84.65,5377.8,2.8453968253968256
0015-UOCOJ,No,Feminino,Yes,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Mês a mês,Yes,Cheque eletrônico,48.2,340.35,1.6207142857142858
0016-QLJIS,No,Feminino,No,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Dois anos,Yes,Cheque enviado,90.45,5957.9,3.055333333333333
0017-DINOC,No,Masculino,No,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Dois anos,No,Cartão de crédito (automático),45.2,2460.55,1.518858024691358
